,car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost
446,2021,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,gray,27500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12757133,880900
447,2018,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,white,105888,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12808697?carsome=true,393900
448,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,red,52500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12664942,421900
449,2017,Mazda,2,1.3,High Plus,Sedan,AT,15.0,25.0,blue,147500,2023-10-25,mazda-2-high-plus-กรุงเทพและปริมณฑล-รังสิต-บางปะอิน/12615332,397900
450,2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,gray,97500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12689907,418900
451,2017,Mazda,2,1.5,XD High Plus L,Sedan,AT,15.0,25.0,gray,87500,2023-10-25,mazda-2-xd-high-plus-l-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12680518,430900
452,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,blue,37500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12678575,421900
453,2020,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,white,67500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12430159,758900
454,2018,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,white,67500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12686501,401900
455,2019,Mazda,3,2.0,SP,Sedan,AT,19.0,24.0,black,87500,2023-10-25,mazda-3-sp-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12484591,777900
456,2017,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,brown,102500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12513751,528900
457,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,red,87500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12692950,421900
458,2019,Mazda,3,2.0,SP Sports,Hatchback,AT,14.0,18.0,red,67500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12532934,661900
459,2013,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9.0,14.0,gray,162500,2023-10-25,mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12834563,245900
460,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,brown,57500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12797456,418900
461,2021,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,red,47500,2023-10-25,mazda-cx-30-sp-ภาคตะวันออก-อำเภอเมืองระยอง/12204559,855000
462,2013,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9.0,14.0,silver,147500,2023-10-25,mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12183526?auc=true,199000
463,2016,Mazda,2,1.3,High,Sedan,AT,15.0,25.0,brown,87500,2023-10-25,mazda-2-high-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/11864434?auc=true,329000
464,2019,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,17.0,23.0,red,82500,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-ติวานนท์-ปทุมธานี/11825253,790000
