car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost
2015,Mazda,CX-5,2.0,S,SUV,AT,13.0,16.0,gray,147500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11847834,419000
2018,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,22.0,gray,37461,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12127275?auc=true,347000
2011,Mazda,MX-5,2.0,,Convertible,AT,5.0,15.0,black,137500,2023-10-25,mazda-mx-5-กรุงเทพและปริมณฑล-อำเภอเมืองสมุทรปราการ/12815094,1150000
2022,Mazda,2,1.3,S Sports,Hatchback,AT,15.0,25.0,white,28000,2023-10-25,mazda-2-s-sports-กรุงเทพและปริมณฑล-อำเภอธัญบุรี/12023033,428000
2017,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,brown,172500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-อำเภอบางบัวทอง/12574274,259000
2022,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,gray,30000,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-อำเภอธัญบุรี/12823917,448000
2021,Mazda,2,1.3,S Leather Sports,Hatchback,AT,15.0,25.0,gray,42500,2023-10-25,mazda-2-s-leather-sports-กรุงเทพและปริมณฑล-อำเภอเมืองนนทบุรี/12698213,419000
2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,white,67500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-อำเภอเมืองนนทบุรี/12687271,369000
2020,Mazda,2,1.3,E,Sedan,AT,15.0,25.0,white,37500,2023-10-25,mazda-2-e-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12743417?carsome=true,404900
2016,Mazda,2,1.3,High Connect,Hatchback,AT,15.0,25.0,blue,117500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12642221?auc=true,299000
2015,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,red,117500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12182055,369000
2018,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,74330,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12317350?auc=true,334000
2013,Mazda,3,1.6,S Plus,Hatchback,AT,11.0,14.0,red,117500,2023-10-25,mazda-3-s-plus-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12003729,269000
2017,Mazda,CX-5,2.0,S,SUV,AT,13.0,16.0,black,152500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11969985,559000
2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,silver,93175,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-มีนบุรี/12777919?auc=true,389000
2019,Mazda,2,1.3,High Plus,Sedan,AT,15.0,25.0,blue,48505,2023-10-25,mazda-2-high-plus-กรุงเทพและปริมณฑล-มีนบุรี/11880382?auc=true,409000
