car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost
2017,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,black,122500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12179432?auc=true,335000
2020,Mazda,2,1.3,S Sports,Hatchback,AT,15.0,25.0,red,82500,2023-10-25,mazda-2-s-sports-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12139796?auc=true,435000
2021,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,white,2500,2023-10-25,mazda-2-s-leather-ภาคตะวันออก-อำเภอศรีราชา/12657645?auc=true,459000
2018,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,brown,57500,2023-10-25,mazda-2-high-connect-ภาคตะวันออก-อำเภอศรีราชา/12569633?auc=true,413000
2012,Mazda,2,1.5,Sports Spirit,Hatchback,AT,9.0,14.0,gray,112500,2023-10-25,mazda-2-sports-spirit-ภาคตะวันออก-อำเภอเมืองชลบุรี/12353423,229000
2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,silver,62500,2023-10-25,mazda-2-sports-high-connect-ภาคตะวันออก-อำเภอบางละมุง/12465527?auc=true,429000
2008,Mazda,3,1.6,Spirit Sports,Hatchback,AT,5.0,10.0,black,222500,2023-10-25,mazda-3-spirit-sports-ภาคตะวันออก-อำเภอบางละมุง/12687215,160000
2018,Mazda,3,2.0,SP Sports,Hatchback,AT,14.0,18.0,white,125686,2023-10-25,mazda-3-sp-sports-ภาคตะวันออก-อำเภอบางละมุง/12658992,549000
2021,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,black,100,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12674490?auc=true,828000
2015,Mazda,2,1.3,Standard,Sedan,AT,15.0,22.0,white,162500,2023-10-25,mazda-2-standard-กรุงเทพและปริมณฑล-กาญจนาภิเษก/10017555,229000
2012,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,AT,,,white,227500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/12046465?auc=true,244000
2015,Mazda,2,1.5,XD Sports High Plus,Hatchback,AT,15.0,25.0,red,42000,2023-10-25,mazda-2-xd-sports-high-plus-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12044342,349000
2012,Mazda,3,1.6,Spirit Sports,Hatchback,AT,11.0,14.0,gray,82500,2023-10-25,mazda-3-spirit-sports-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/8611685,279000
2013,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,AT,,,black,151269,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/12733540,349000
2021,Mazda,3,2.0,SP Sports,Hatchback,AT,19.0,24.0,gray,2500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12272293,850000
2009,Mazda,3,1.6,Spirit Sports,Hatchback,AT,5.0,10.0,black,167500,2023-10-25,mazda-3-spirit-sports-กรุงเทพและปริมณฑล-มีนบุรี/12635790,219000
2017,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,black,117500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12466776,359000
2016,Mazda,2,1.5,XD,Sedan,AT,15.0,22.0,red,272500,2023-10-25,mazda-2-xd-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11324222,329000
2011,Mazda,2,1.5,Groove,Sedan,AT,9.0,14.0,white,147500,2023-10-25,mazda-2-groove-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11831267,179000
2019,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,MT,,,black,25612,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/11380150?auc=true,419000
2018,Mazda,MX-5,2.0,,Convertible,AT,16.0,25.0,blue,17500,2023-10-25,mazda-mx-5-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12498576,1890000
2021,Mazda,CX-8,2.5,SP,SUV,AT,19.0,25.0,white,70000,2023-10-25,mazda-cx-8-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12489697,998000
2015,Mazda,2,1.3,Sports High Plus,Hatchback,AT,15.0,25.0,blue,67500,2023-10-25,mazda-2-sports-high-plus-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12351081,325000
2019,Mazda,3,2.0,S Sports,Hatchback,AT,14.0,18.0,black,27500,2023-10-25,mazda-3-s-sports-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/12554082,558000
1968,Mazda,Familia,0.8,800,Pickup,MT,63.0,68.0,green,2500,2023-10-25,mazda-familia-800-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/7714055,150000
2017,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,gray,183719,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12653190,365000
2018,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,gray,60148,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12653095,399000
2018,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,brown,2500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-สุขุมวิท/11814336?auc=true,399000
2020,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,blue,112500,2023-10-25,mazda-2-high-connect-ภาคกลาง-อำเภอเมืองนครสวรรค์/12679536,399000
2022,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,gray,36069,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-มีนบุรี/12597659?auc=true,469000
2018,Mazda,3,2.0,E,Sedan,AT,14.0,18.0,silver,2500,2023-10-25,mazda-3-e-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12714122?auc=true,399000
2014,Mazda,2,1.5,Elegance Groove,Sedan,AT,9.0,14.0,silver,177500,2023-10-25,mazda-2-elegance-groove-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12606055,199000
2012,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,AT,,,white,122500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/12157549?auc=true,304000
2018,Mazda,2,1.5,XD High Plus L,Sedan,AT,15.0,25.0,red,88968,2023-10-25,mazda-2-xd-high-plus-l-ภาคใต้-อำเภอเมืองภูเก็ต/11427832,395000
2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,7500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-อ่อนนุช/12617310?auc=true,378000
2019,Mazda,CX-5,2.2,XD,SUV,AT,17.0,23.0,white,87500,2023-10-25,mazda-cx-5-xd-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12736602?auc=true,689000
2015,Mazda,3,2.0,S,Sedan,AT,14.0,18.0,brown,157500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12319735,388000
2016,Mazda,3,2.0,E,Sedan,AT,14.0,18.0,red,212500,2023-10-25,mazda-3-e-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12445191,385000
2017,Mazda,3,2.0,SP Sports,Hatchback,AT,14.0,18.0,black,82500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/11839559,488000
2014,Mazda,3,1.6,Spirit Sports,Hatchback,AT,11.0,14.0,white,112500,2023-10-25,mazda-3-spirit-sports-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12365213,295000
2005,Mazda,3,1.6,V,Sedan,AT,5.0,10.0,gray,162500,2023-10-25,mazda-3-v-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12317383,149000
2016,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,white,142500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11860008,349000
2018,Mazda,CX-3,2.0,SP,SUV,AT,15.0,22.0,red,102500,2023-10-25,mazda-cx-3-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11584160,509000
2012,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9.0,14.0,white,162500,2023-10-25,mazda-2-elegance-spirit-ภาคอีสาน-อำเภอเมืองอุดรธานี/12736025,199000
2014,Mazda,CX-5,2.0,S,SUV,AT,13.0,16.0,white,127500,2023-10-25,mazda-cx-5-s-ภาคกลาง-อำเภอเมืองกำแพงเพชร/12716064,450000
2014,Mazda,3,2.0,E,Sedan,AT,14.0,18.0,red,192500,2023-10-25,mazda-3-e-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12445990,318000
2017,Mazda,CX-5,2.0,S,SUV,AT,13.0,16.0,black,112500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12733275,318000
2014,Mazda,3,2.0,SP Sports,Hatchback,AT,14.0,18.0,silver,107500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-อ่อนนุช/12717919,368000
2011,Mazda,3,2.0,Maxx Sports,Hatchback,AT,11.0,14.0,red,200000,2023-10-25,mazda-3-maxx-sports-กรุงเทพและปริมณฑล-อ่อนนุช/12196569,289000
2015,Mazda,3,2.0,C,Sedan,AT,14.0,18.0,red,150000,2023-10-25,mazda-3-c-กรุงเทพและปริมณฑล-อ่อนนุช/12196397,449000
2016,Mazda,CX-5,2.5,S,SUV,AT,13.0,16.0,white,110000,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-อ่อนนุช/12196169,499000
2017,Mazda,CX-3,2.0,S,SUV,AT,15.0,22.0,gray,39000,2023-10-25,mazda-cx-3-s-กรุงเทพและปริมณฑล-อ่อนนุช/12196270,559000
2017,Mazda,2,1.3,High Plus,Sedan,AT,15.0,25.0,white,101644,2023-10-25,mazda-2-high-plus-กรุงเทพและปริมณฑล-สุขุมวิท/12699414,361000
2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,white,107500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12599924,368000
2012,Mazda,2,1.5,Groove,Sedan,AT,9.0,14.0,gray,2500,2023-10-25,mazda-2-groove-กรุงเทพและปริมณฑล-กาญจนาภิเษก/10630116,189000
2017,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,black,97500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11963112?auc=true,315000
2015,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,black,107500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11903805?auc=true,299000
2020,Mazda,2,1.3,S Leather Sports,Hatchback,AT,15.0,25.0,gray,32500,2023-10-25,mazda-2-s-leather-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12732519?auc=true,439000
2014,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,silver,182500,2023-10-25,mazda-bt-50-pro-hi-racer-ภาคอีสาน-อำเภอเมืองบุรีรัมย์/12278370,349000
2020,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,gray,74175,2023-10-25,mazda-2-high-connect-ภาคตะวันออก-อำเภอบางละมุง/12645038,399000
2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,22500,2023-10-25,mazda-2-high-connect-ภาคกลาง-อำเภอเมืองพิษณุโลก/12243455,428000
2018,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,17.0,23.0,red,92500,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/8011952?auc=true,799000
2017,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,13.0,16.0,black,80940,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12598366?auc=true,578000
2019,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,brown,73860,2023-10-25,mazda-bt-50-pro-hi-racer-ภาคอีสาน-อำเภอเมืองอุบลราชธานี/12676263,379000
2019,Mazda,3,2.0,SP Sports,Hatchback,AT,19.0,24.0,red,57500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/10901695,865000
2022,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,black,2500,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/11962603,587000
2019,Mazda,3,2.0,SP,Sedan,AT,19.0,24.0,gray,2500,2023-10-25,mazda-3-sp-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/11269478,983000
2020,Mazda,CX-3,2.0,Proactive,SUV,AT,15.0,22.0,red,47500,2023-10-25,mazda-cx-3-proactive-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/11246308,705000
2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,gray,77500,2023-10-25,mazda-2-high-connect-ภาคอีสาน-อำเภอเมืองอุดรธานี/12056168,419000
2019,Mazda,CX-5,2.2,XD,SUV,AT,17.0,23.0,blue,2500,2023-10-25,mazda-cx-5-xd-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12538172?auc=true,599000
2010,Mazda,2,1.5,Spirit Sports,Sedan,AT,9.0,14.0,gold,177500,2023-10-25,mazda-2-spirit-sports-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/11641759?auc=true,179000
2015,Mazda,CX-5,2.0,C,SUV,AT,13.0,16.0,white,297500,2023-10-25,mazda-cx-5-c-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12385177,399000
2017,Mazda,CX-3,2.0,SP,SUV,AT,15.0,22.0,red,2500,2023-10-25,mazda-cx-3-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12728672,399000
2020,Mazda,3,2.0,SP Sports,Hatchback,AT,19.0,24.0,gray,111939,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12730681,695000
2016,Mazda,CX-3,2.0,S,SUV,AT,15.0,22.0,white,127721,2023-10-25,mazda-cx-3-s-ภาคตะวันออก-อำเภอเมืองระยอง/12730523,435000
2016,Mazda,CX-3,2.0,S,SUV,AT,15.0,22.0,white,127721,2023-10-25,mazda-cx-3-s-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12730506,479000
2018,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,17.0,23.0,blue,222500,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12730442,688000
2017,Mazda,2,1.3,Sports High,Hatchback,AT,15.0,25.0,blue,77500,2023-10-25,mazda-2-sports-high-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/12677729,328000
2021,Mazda,CX-3,2.0,Base Plus,SUV,AT,15.0,22.0,cream,62500,2023-10-25,mazda-cx-3-base-plus-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12125783,599000
2017,Mazda,CX-3,1.5,XDL,SUV,AT,15.0,22.0,gray,112500,2023-10-25,mazda-cx-3-xdl-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11920777,529000
2019,Mazda,CX-5,2.0,S,SUV,AT,17.0,23.0,silver,12500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-อ่อนนุช/12178455,739000
2018,Mazda,CX-5,2.0,S,SUV,AT,17.0,23.0,gray,147500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-อ่อนนุช/12445872?auc=true,599999
2012,Mazda,BT-50 PRO,3.2,DOUBLE CAB R 4WD,Pickup,MT,,,sky,355000,2023-10-25,mazda-bt-50-pro-r-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12079054?auc=true,294000
2016,Mazda,CX-3,2.0,C,SUV,AT,15.0,22.0,white,17500,2023-10-25,mazda-cx-3-c-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12422418,399000
2022,Mazda,2,1.3,C,Sedan,AT,15.0,25.0,black,36864,2023-10-25,mazda-2-c-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12348481?auc=true,435000
2022,Mazda,BT-50,1.9,Freestyle Cab Hi-Racer C,Pickup,MT,,,silver,12500,2023-10-25,mazda-bt-50-hi-racer-c-ภาคอีสาน-อำเภอเมืองร้อยเอ็ด/12726578,450000
2018,Mazda,CX-3,2.0,SP,SUV,AT,15.0,22.0,blue,87500,2023-10-25,mazda-cx-3-sp-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/11029239,660000
2019,Mazda,CX-5,2.5,Turbo SP 4WD,SUV,AT,17.0,23.0,red,74845,2023-10-25,mazda-cx-5-turbo-sp-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/12548764,1190000
2018,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,gray,82500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/11886469,370000
2017,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,black,92500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/11679179,345000
2018,Mazda,2,1.3,High Plus,Sedan,AT,15.0,25.0,black,117500,2023-10-25,mazda-2-high-plus-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/11886673,388750
2017,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,122500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11766238?auc=true,315000
2015,Mazda,2,1.3,High,Sedan,AT,15.0,25.0,brown,142500,2023-10-25,mazda-2-high-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11618622?auc=true,275000
2019,Mazda,CX-3,2.0,E,SUV,AT,15.0,22.0,red,92500,2023-10-25,mazda-cx-3-e-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11419806?auc=true,455000
2012,Mazda,2,1.5,Elegance Groove,Sedan,AT,9.0,14.0,red,162500,2023-10-25,mazda-2-elegance-groove-ภาคอีสาน-อำเภอวารินชำราบ/11348457?auc=true,239000
2020,Mazda,CX-30,2.0,SP,SUV,AT,20.0,25.0,gray,37500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12305287,839000
2018,Mazda,CX-5,2.0,S,SUV,AT,17.0,23.0,silver,2500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11588069?auc=true,568000
2017,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,white,97500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12617120?auc=true,568000
2020,Mazda,2,1.3,S Sports,Hatchback,AT,15.0,25.0,silver,27500,2023-10-25,mazda-2-s-sports-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12610995?auc=true,448000
2015,Mazda,CX-5,2.5,S,SUV,AT,13.0,16.0,gray,72500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12719588,449000
2014,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,silver,172500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12146176?auc=true,275000
2020,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,black,57500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-อ่อนนุช/12546803?auc=true,399000
2018,Mazda,2,1.3,High Connect,Sedan,AT,15.0,22.0,red,2500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12269390?auc=true,359000
2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,black,7500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12629956?auc=true,389000
2017,Mazda,2,1.3,High Plus,Sedan,AT,15.0,25.0,brown,82500,2023-10-25,mazda-2-high-plus-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12603643?auc=true,438000
2019,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,MT,,,white,62500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-กาญจนาภิเษก/8114663,429000
2015,Mazda,2,1.5,XD Sports High,Hatchback,AT,15.0,25.0,white,127500,2023-10-25,mazda-2-xd-sports-high-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12567024?auc=true,359000
2018,Mazda,3,2.0,SP,Sedan,AT,14.0,18.0,black,132500,2023-10-25,mazda-3-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11986795,598000
2016,Mazda,CX-3,2.0,SP,SUV,AT,15.0,22.0,black,97500,2023-10-25,mazda-cx-3-sp-กรุงเทพและปริมณฑล-อำเภอบางเสาธง/12444721,428000
2018,Mazda,2,1.5,XD High Connect,Sedan,AT,15.0,22.0,red,42860,2023-10-25,mazda-2-xd-high-connect-ภาคเหนือ-อำเภอเมืองเชียงใหม่/9873798?auc=true,489000
2016,Mazda,3,2.0,C Sports,Hatchback,AT,14.0,18.0,red,2500,2023-10-25,mazda-3-c-sports-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/9271513?auc=true,369000
2019,Mazda,3,2.0,C,Sedan,AT,14.0,18.0,red,207500,2023-10-25,mazda-3-c-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12342407?auc=true,469000
2009,Mazda,CX-7,2.3,2.3T 4WD Wagon,,AT,7.0,9.0,gray,102500,2023-10-25,mazda-cx-7-2-3t-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12009856?auc=true,309000
2018,Mazda,2,1.3,Sports High,Hatchback,AT,15.0,25.0,black,58109,2023-10-25,mazda-2-sports-high-กรุงเทพและปริมณฑล-อ่อนนุช/12599682?auc=true,378000
2005,Mazda,3,2.0,R Sport,Hatchback,AT,5.0,10.0,blue,2500,2023-10-25,mazda-3-r-sport-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/9040734?auc=true,149000
2011,Mazda,2,1.5,Elegance Groove,Sedan,AT,9.0,14.0,white,2500,2023-10-25,mazda-2-elegance-groove-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11725350?auc=true,189000
2020,Mazda,2,1.3,E,Sedan,AT,15.0,25.0,gray,47500,2023-10-25,mazda-2-e-กรุงเทพและปริมณฑล-อ่อนนุช/11918733,365000
2020,Mazda,3,2.0,SP Sports,Hatchback,AT,19.0,24.0,gray,111939,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-อ่อนนุช/12400163?auc=true,698000
2018,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15.0,25.0,white,92500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12600632?auc=true,329000
2019,Mazda,BT-50 PRO,2.2,FREE STYLE CAB V,Pickup,MT,,,brown,12500,2023-10-25,mazda-bt-50-pro-v-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/12118443?auc=true,359000
2021,Mazda,CX-3,2.0,Base Plus,SUV,AT,15.0,22.0,white,53713,2023-10-25,mazda-cx-3-base-plus-ภาคใต้-อำเภอหาดใหญ่/12493434,599000
2017,Mazda,CX-3,2.0,S,SUV,AT,15.0,22.0,red,82500,2023-10-25,mazda-cx-3-s-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/12527167,448000
2012,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,AT,,,brown,117500,2023-10-25,mazda-bt-50-pro-hi-racer-ภาคตะวันออก-อำเภอเมืองชลบุรี/12704267?auc=true,369000
2018,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,white,22500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12070543?auc=true,289000
2020,Mazda,2,1.3,S Leather Sports,Hatchback,AT,15.0,25.0,black,27500,2023-10-25,mazda-2-s-leather-sports-กรุงเทพและปริมณฑล-อำเภอกระทุ่มแบน/12665776?auc=true,454000
2012,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,MT,,,gray,202500,2023-10-25,mazda-bt-50-pro-hi-racer-ภาคตะวันออก-อำเภอเมืองชลบุรี/10239856?auc=true,379000
2021,Mazda,2,1.3,S Leather,Sedan,AT,15.0,25.0,white,23722,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12609205,409000
2020,Mazda,BT-50 PRO,2.2,DOUBLE CAB THUNDER Hi-Racer,Pickup,MT,,,gray,20000,2023-10-25,mazda-bt-50-pro-thunder-hi-racer-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/11794119,528000
2013,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,13.0,16.0,silver,142500,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12606189?auc=true,479000
2016,Mazda,3,2.0,SP Sports,Hatchback,AT,14.0,18.0,red,52500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12606228?auc=true,459000
2017,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,gray,66000,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-อำเภอปากเกร็ด/12699432,369000
2019,Mazda,2,1.3,High Connect,Sedan,AT,15.0,25.0,red,124000,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-อำเภอปากเกร็ด/12699262,389000
2019,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,,,brown,97500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-อ่อนนุช/12549262?auc=true,369000
2018,Mazda,MX-5,2.0,,Convertible,AT,16.0,20.0,red,19000,2023-10-25,mazda-mx-5-กรุงเทพและปริมณฑล-กาญจนาภิเษก/9239928?auc=true,2190000
