id,name,cost,mile,status,color,gear,web,webid,date
693,2017 Mazda 2 1.3 (ปี 15-25) Sports High Connect Hatchback,"349,000",10 - 15K km,รถมือสอง,สีน้ำตาล,เกียร์อัตโนมัติ,one2car,"mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-อำเภอบางบัวทอง/12802011
",2023-10-25
694,2017 Mazda CX-5 2.2 (ปี 13-16) XDL 4WD SUV,"558,000",137500 km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-cx-5-xdl-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12640024
",2023-10-25
695,2017 Mazda 3 2.0 (ปี 14-18) C Sports Hatchback,"469,000",140 - 145K km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-3-c-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12761606?auc=true
",2023-10-25
696,2015 Mazda 3 2.0 (ปี 14-18) C Sports Hatchback,"329,000",0 - 5K km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-3-c-sports-กรุงเทพและปริมณฑล-สุขุมวิท/12732270?auc=true
",2023-10-25
697,2018 Mazda 2 1.3 (ปี 15-25) High Connect Sedan,"388,000",0 - 5K km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-2-high-connect-กรุงเทพและปริมณฑล-ติวานนท์-ปทุมธานี/12265123
",2023-10-25
699,2020 Mazda BT-50 PRO 2.2 FREE STYLE CAB Hi-Racer Pickup,"298,000",39113 km,รถมือสอง,สีขาว,เกียร์ธรรมดา,one2car,"mazda-bt-50-pro-hi-racer-ภาคอีสาน-อำเภอเมืองนครราชสีมา/12814461?auc=true
",2023-10-25
700,2017 Mazda 3 2.0 (ปี 14-18) 2.0 S Sports Hatchback AT,"430,000",50 - 55K km,รถมือสอง,สีน้ำเงิน,เกียร์อัตโนมัติ,one2car,"mazda-3-s-sports-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/11532637
",2023-10-25
702,2005 Mazda 3 2.0 (ปี 05-10) R Sport Hatchback,"149,000",0 - 5K km,รถมือสอง,สีน้ำเงิน,เกียร์อัตโนมัติ,one2car,"mazda-3-r-sport-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/9041364?auc=true
",2023-10-25
703,2016 Mazda 3 2.0 (ปี 14-18) C Sports Hatchback,"369,000",0 - 5K km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-3-c-sports-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/9272003?auc=true
",2023-10-25
704,2011 Mazda 2 1.5 (ปี 09-14) Elegance Groove Sedan,"149,000",0 - 5K km,รถมือสอง,สีขาว,เกียร์อัตโนมัติ,one2car,"mazda-2-elegance-groove-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11725632?auc=true
",2023-10-25
705,2010 Mazda 3 1.6 (ปี 05-10) Spirit Sedan,"149,000",0 - 5K km,รถมือสอง,สีเงิน,เกียร์อัตโนมัติ,one2car,"mazda-3-spirit-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11725630?auc=true
",2023-10-25
706,2012 Mazda 2 1.5 (ปี 09-14) Groove Sedan,"179,000",0 - 5K km,รถมือสอง,สีฟ้า,เกียร์อัตโนมัติ,one2car,"mazda-2-groove-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11575731?auc=true
",2023-10-25
707,2019 Mazda 2 1.3 (ปี 15-25) Sports Standard Hatchback,"319,000",0 - 5K km,รถมือสอง,สีเทา,เกียร์อัตโนมัติ,one2car,"mazda-2-sports-standard-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12036097?auc=true
",2023-10-25
708,2015 Mazda 2 1.5 (ปี 15-25) XD Sports High Plus Hatchback,"345,000",150 - 155K km,รถมือสอง,สีแดง,เกียร์อัตโนมัติ,one2car,"mazda-2-xd-sports-high-plus-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12802230
",2023-10-25
