id,year,tabian,name,addName,salePrice,notSalePrice,distance,fuel,gear,color,injure,door,address,web,webid,date
33,2019,กฉ-4853,2019 Mazda 2,1.3 Skyactiv High Plus,"423,900","449,200","41,088",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640037887/
",2023-10-28
34,2019,ขด-4885,2019 Mazda 2,1.3 Skyactiv High Connect,"399,700","409,700","53,778",เบนซิน,เกียร์อัตโนมัติ,แดง,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640039662/
",2023-10-28
35,2020,กร-9053,2019 Mazda 2,1.3 Skyactiv-G S Sedan,,"430,800","55,320",เบนซิน,เกียร์อัตโนมัติ,แดง,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6612020775/
",2023-10-28
36,2019,ขค-6315,2019 Mazda 2,1.3 Skyactiv High Connect,"398,700","409,700","40,048",เบนซิน,เกียร์อัตโนมัติ,แดง,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6617001148/
",2023-10-28
37,2020,ขง-9542,2019 Mazda 2,1.3 Skyactiv High Connect,,"409,700","57,240",เบนซิน,เกียร์อัตโนมัติ,แดง,พบตำหนิเล็กน้อย 1 จุดดูรายละเอียดทั้งหมดExterior + Tyres + Windshield + Rear  -  Scratchedมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6613011580/
",2023-10-28
38,2019,ขบ-7387,2019 Mazda 2,1.3 Skyactiv High Connect,"390,700","391,900","73,377",เบนซิน,เกียร์อัตโนมัติ,แดง,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6613004371/
",2023-10-28
39,2019,กฎ-8924,2019 Mazda 2,1.3 Skyactiv High Connect,"395,700","405,600","60,179",เบนซิน,เกียร์อัตโนมัติ,น้ำตาล,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640042892/
",2023-10-28
40,2020,กฮ-2464,2019 Mazda 2,1.3 Skyactiv-G S Leather Sedan,"439,700","442,000","57,150",เบนซิน,เกียร์อัตโนมัติ,ขาว,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640035077/
",2023-10-28
41,2019,ขล-4136,2019 Mazda 2,1.3 Skyactiv High Connect,"395,700","405,600","62,662",เบนซิน,เกียร์อัตโนมัติ,แดง,พบตำหนิเล็กน้อย 1 จุดดูรายละเอียดทั้งหมดExterior + Tyres + Door + RHS Front  -  Scratchedมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6613011019/
",2023-10-28
42,2020,ขบ-3769,2020 Mazda 2,1.3 Skyactiv-G S Sedan,"430,300","435,200","47,446",เบนซิน,เกียร์อัตโนมัติ,เทา,พบตำหนิเล็กน้อย 3 จุดดูรายละเอียดทั้งหมด PreviousExterior + Tyres + Tyre + RHS - Front Exterior + Tyres + Tyre + LHS Front  -  Alloy scratchedExterior + Tyres + Tyre + LHS Rear  -  Alloy scratched Nextมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6612020171/
",2023-10-28
43,2021,ขศ-7427,2020 Mazda 2,1.3 Skyactiv-G Sp Sports,"479,000","483,800","34,373",เบนซิน,เกียร์อัตโนมัติ,ขาว,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6613011275/
",2023-10-28
44,2020,กฬ-2178,2020 Mazda 2,1.3 Skyactiv-G Sp,"450,600","454,500","97,711",เบนซิน,เกียร์อัตโนมัติ,แดง,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6612021353/
",2023-10-28
45,2021,ขภ-7134,2020 Mazda 2,1.3 Skyactiv-G S Leather Sedan,"431,800","437,700","78,575",เบนซิน,เกียร์อัตโนมัติ,ดำ,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6611008412/
",2023-10-28
46,2021,ขฌ-5573,2020 Mazda 2,1.3 Skyactiv-G S Leather Sedan,,"450,400","57,083",เบนซิน,เกียร์อัตโนมัติ,ดำ,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6613011443/
",2023-10-28
47,2021,ขพ-8940,2020 Mazda 2,1.3 Skyactiv-G S Leather Sedan,,"455,000","44,386",เบนซิน,เกียร์อัตโนมัติ,ขาว,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640042143/
",2023-10-28
48,2022,ขอ-9816,2020 Mazda 2,1.3 Skyactiv-G S Sedan,,"434,700","36,719",เบนซิน,เกียร์อัตโนมัติ,แดง,พบตำหนิเล็กน้อย 2 จุดดูรายละเอียดทั้งหมด PreviousExterior + Tyres + Bonnet/Hood  -  ScratchedExterior + Tyres + Door + RHS Front  -  Dented Nextมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640044608/
",2023-10-28
49,2022,ขช-9255,2020 Mazda Bt-50,All New Double Cab 1.9 S Hi-Racer,"646,500","659,700",280,ดีเซล,เกียร์ธรรมดา,ดำ,ตำหนิเล็กน้อยรถคันนี้มีเพียงตำหนิเล็กน้อยตามสภาพการใช้งานดูรายละเอียดทั้งหมดมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-bt-50-car-THA6630001329/
",2023-10-28
50,2021,ขศ-7956,2021 Mazda 2,1.3 Skyactiv-G S Leather Sedan,,"484,500","14,074",เบนซิน,เกียร์อัตโนมัติ,ขาว,พบตำหนิเล็กน้อย 1 จุดดูรายละเอียดทั้งหมดExterior + Tyres + Quarter Panel + RHS  -  Scratchedมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6640042663/
",2023-10-28
51,2022,ขล-6763,2021 Mazda 2,1.3 Skyactiv-G S Leather Sedan,"470,100","474,800","21,214",เบนซิน,เกียร์อัตโนมัติ,เทา,พบตำหนิเล็กน้อย 2 จุดดูรายละเอียดทั้งหมด PreviousExterior + Tyres + Grill  -  DamagedExterior + Tyres + Door + RHS Rear  -  Scratched Nextมาตรฐานการตรวจสอบของเรา,4,Bangkok,cars24,"https://www.cars24.co.th/buy-used-mazda-2-car-THA6612021109/
",2023-10-28
